date,USDCHF,GBPUSD,USDJPY,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2017.01.30,101.00000000000664,124.99999999999733,26.00000000001046,-32.999999999994145,44.99999999999504,-57.999999999992724,102.00000000000209,108.00000000000809,188.9999999999947,70.99999999999883,-64.99999999998174,-80.99999999999774,-106.00000000000608,36.000000000001364,72.00000000000273,81.99999999999363,58.99999999999794,-46.999999999997044,53.999999999998494,,680.0000000000381
2017.01.30,117.00000000000044,130.99999999999224,125.0,-27.999999999994696,2.999999999997449,52.00000000000671,112.000000000001,108.00000000000809,161.99999999999548,12.000000000012001,-75.99999999998718,-139.00000000000023,52.000000000007596,109.00000000000887,132.99999999999557,80.99999999998886,61.999999999995396,11.00000000000545,146.00000000000168,,1173.0000000000346
2017.01.30,112.000000000001,-156.00000000000057,-57.999999999992724,-17.000000000000348,41.000000000002146,-104.99999999998977,87.00000000000374,95.00000000000064,193.99999999999417,-400.00000000000034,-131.99999999999878,-165.9999999999995,8.000000000008,-57.999999999992724,-15.000000000000568,0.999999999990564,39.999999999995595,-93.99999999999409,106.00000000000608,,-516.9999999999675
2017.01.30,80.00000000000229,-178.00000000001148,-113.99999999999011,12.000000000000899,24.999999999997247,-122.99999999999045,103.00000000000864,40.00000000000669,156.00000000000057,-499.000000000005,-116.99999999998934,-279.00000000000705,86.0000000000083,-53.999999999987836,-91.99999999999875,-56.000000000011596,119.99999999999788,-32.999999999994145,77.00000000001594,,-845.9999999999472
2017.01.30,46.00000000000159,-177.00000000000495,-146.99999999999136,-8.999999999992347,2.000000000002,-114.99999999999488,80.99999999999774,36.0000000000027,107.00000000000153,-455.0000000000054,-182.99999999999983,-309.0000000000037,211.00000000000563,-73.99999999999807,-90.99999999999397,-107.00000000001353,95.99999999999609,0.0,141.99999999999767,,-945.999999999993
2017.01.30,56.99999999999594,-81.00000000001995,-96.9999999999942,45.000000000006146,-18.0000000000069,-78.99999999999352,52.000000000007596,-9.999999999998899,90.99999999999665,-445.99999999999085,-252.99999999999213,-409.99999999999926,265.99999999998846,-79.9999999999983,-115.99999999999966,-99.00000000000375,117.99999999999588,-17.999999999995797,99.00000000000463,,-978.9999999999981
2017.01.30,-5.999999999994898,-124.00000000001299,-305.9999999999974,-51.99999999999649,46.00000000000159,-217.9999999999893,24.000000000001798,38.0000000000047,108.99999999999244,-293.99999999999426,-346.9999999999862,-361.9999999999957,268.0000000000016,-214.9999999999892,-164.00000000000148,-177.0000000000067,19.999999999997797,-75.9999999999983,140.0000000000068,,-1695.9999999999563
2017.01.30,-19.00000000000235,-163.00000000000205,-364.9999999999949,-27.999999999994696,24.999999999997247,-258.99999999998613,46.00000000000159,6.0000000000060005,81.9999999999932,-391.000000000008,-340.9999999999913,-463.9999999999977,361.9999999999957,-221.9999999999942,-233.99999999999466,-242.00000000000443,89.99999999999008,-14.000000000002899,136.00000000000279,,-1994.9999999999868
2017.01.30,14.999999999998348,-116.00000000000499,-314.9999999999977,-18.999999999991246,31.999999999998696,-247.99999999999045,48.99999999999905,21.999999999999797,112.99999999999643,-350.00000000000585,-327.99999999999494,-414.00000000000324,286.00000000000847,-211.9999999999891,-206.99999999999363,-197.00000000000273,71.99999999999429,-51.99999999999649,114.99999999999844,,-1753.999999999977
2017.01.30,4.999999999999449,-67.00000000001705,-423.9999999999924,26.000000000003798,17.999999999995797,-345.9999999999894,64.0000000000085,-29.000000000001247,91.99999999999208,-385.99999999999744,-299.99999999998914,-516.0000000000053,327.99999999999494,-268.99999999999125,-340.0000000000034,-292.0000000000016,156.99999999999602,-4.999999999999449,73.99999999999629,,-2210.000000000001
