date,USDJPY,USDCAD,GBPCHF,EURCHF,CADCHF,AUDCHF,EURGBP,GBPCAD,EURJPY,EURCAD,EURNZD,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.04.26,-19.99999999999602,-35.00000000000725,-272.99999999998994,38.0000000000047,-105.99999999999498,-104.00000000000409,19.00000000000235,445.0000000000065,66.0000000000025,114.99999999999844,-86.99999999999264,46.999999999997044,170.00000000000347,123.00000000000644,,398.0000000000365
2021.04.26,-36.000000000001364,-39.00000000001125,-174.00000000000747,66.99999999999484,-93.99999999999409,-87.00000000000374,43.999999999999595,530.0000000000082,116.99999999999022,152.99999999998093,-148.99999999999915,39.99999999999204,187.9999999999993,85.00000000000173,,644.9999999999498
2021.04.26,-31.00000000000591,-28.000000000005798,-222.99999999999542,76.99999999999375,-151.9999999999966,-135.00000000000733,50.0000000000056,503.000000000009,63.99999999999295,125.99999999998168,-56.99999999999594,102.99999999999443,230.000000000008,170.99999999999892,,697.9999999999773
2021.04.26,-4.0000000000048885,-80.00000000001339,-187.00000000000384,79.99999999999119,-125.99999999999278,-126.0000000000039,81.00000000000884,517.0000000000119,26.999999999986812,177.99999999998929,-66.99999999999484,72.99999999999329,246.00000000000176,202.0000000000022,,813.9999999999717
2021.04.26,-1.0000000000047748,-89.00000000000574,-157.99999999999147,80.99999999999774,-118.99999999999133,-139.00000000000023,104.00000000000409,483.0000000000112,20.999999999986585,186.99999999998164,-59.99999999999339,75.9999999999934,269.00000000000813,213.00000000000762,,868.0000000000035
2021.04.26,4.9999999999954525,-144.0000000000108,-154.0000000000097,96.00000000000719,-111.99999999998988,-109.99999999999899,112.000000000001,497.0000000000141,-13.00000000000523,220.99999999998232,-136.00000000000279,21.000000000000796,238.0000000000049,194.0000000000053,,714.9999999999936
2021.04.26,-3.0000000000001137,78.99999999998464,-225.99999999999287,112.000000000001,-216.99999999998943,-184.00000000000637,79.00000000000685,355.0000000000164,66.0000000000025,34.99999999998504,-48.000000000003595,109.99999999999943,207.00000000000162,129.9999999999968,,495.00000000000193
2021.04.26,9.000000000000341,78.00000000000028,-293.99999999999426,154.0000000000097,-202.9999999999976,-207.00000000000162,70.0000000000034,483.99999999999557,132.000000000005,123.99999999999079,-62.000000000006494,141.9999999999959,248.00000000000378,190.99999999999673,,866.0000000000015
2021.04.26,84.99999999999375,146.99999999998602,-302.0000000000023,150.00000000000568,-205.99999999999508,-245.0000000000063,60.99999999999994,487.0000000000152,104.99999999998977,113.99999999999189,60.99999999999994,179.9999999999926,302.9999999999977,235.00000000000742,,1174.9999999999764
2021.04.26,112.99999999999955,180.99999999998673,-306.9999999999906,147.99999999999258,-213.99999999999199,-277.000000000005,54.00000000000959,478.0000000000006,81.99999999999363,90.99999999999665,75.00000000000284,176.00000000000193,336.00000000000296,231.99999999999886,,1167.9999999999984
2021.04.26,171.00000000000648,224.000000000002,-299.00000000000483,109.00000000000354,-211.99999999998997,-315.0000000000097,32.0000000000098,465.0000000000043,13.999999999981583,38.99999999998904,146.00000000000168,167.99999999999216,373.00000000000114,238.0000000000049,,1152.999999999992
2021.04.26,162.00000000000614,231.99999999998778,-286.00000000000847,120.99999999999334,-204.99999999999963,-287.9999999999994,43.00000000000415,460.000000000016,54.000000000002046,64.99999999998174,110.99999999999443,173.00000000000182,365.0000000000042,231.0000000000034,,1237.9999999999877
