date,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,AUDNZD,empty,sum
2018.04.02,-102.99999999998644,-24.000000000001798,-71.99999999998852,-93.99999999999409,0.0,-92.99999999999864,-225.99999999999287,-18.0000000000069,-143.00000000000068,-60.00000000000449,-41.9999999999976,-53.999999999998494,-48.99999999999905,-204.00000000000773,-269.9999999999925,-126.99999999998823,-44.00000000001114,0.0,-96.99999999999153,-140.0000000000068,-76.99999999999818,-37.9999999999967,-4.999999999999449,-46.999999999997044,,-2026.9999999999593
2018.04.02,104.99999999999955,-33.00000000001635,-102.99999999999443,-93.00000000000975,-7.9999999999968985,-109.99999999999899,-322.9999999999844,-62.000000000006494,-120.99999999999511,-175.99999999999838,-95.00000000000064,66.99999999999484,-39.00000000000014,-263.00000000000523,-270.99999999999903,256.00000000001177,54.000000000002046,-124.99999999999733,-17.000000000000348,-130.0000000000079,-142.00000000001012,-19.99999999999602,-125.99999999999278,18.0000000000069,,-1756.9999999999955
2018.04.02,32.0000000000098,-24.000000000001798,-233.99999999999466,-92.00000000000318,4.999999999999449,-147.99999999999258,-469.99999999999267,-221.00000000000452,-189.00000000000716,-284.0000000000065,-143.9999999999997,68.99999999999685,-65.99999999999939,-468.9999999999941,-223.99999999997976,153.00000000000313,70.99999999999795,-66.99999999999484,-28.999999999990145,-296.0000000000074,-298.0000000000018,39.00000000000148,-71.99999999999429,-107.99999999999699,,-3065.9999999999527
2018.04.02,154.0000000000097,10.999999999983245,-218.9999999999941,-56.99999999999594,-1.999999999990898,-132.99999999999423,-502.00000000000244,-190.00000000000128,-158.00000000000125,-268.99999999999704,-139.99999999999568,154.99999999999403,-20.999999999993246,-444.9999999999932,-26.999999999999247,404.0000000000044,122.99999999999045,-45.99999999999049,35.00000000000725,-293.99999999999426,-277.000000000001,34.000000000006025,-36.999999999998145,-96.99999999999153,,-1997.9999999999393
2018.04.02,168.0000000000126,-16.000000000016,-183.9999999999975,-72.0000000000054,-17.000000000000348,-131.99999999999878,-499.9999999999893,-180.0000000000024,-167.0000000000016,-261.0000000000001,-122.99999999999534,149.99999999999457,-25.999999999992696,-421.99999999999704,59.000000000009045,483.0000000000112,90.99999999997976,0.0,82.00000000000429,-306.9999999999906,-249.00000000000944,7.000000000005002,-23.999999999990695,-92.99999999998754,,-1732.9999999999582
2018.04.02,180.0000000000024,35.999999999991594,-156.99999999999648,-87.00000000001484,-28.999999999990145,-113.99999999999189,-523.9999999999911,-161.00000000001114,-126.99999999999534,-229.99999999999687,-93.99999999999409,139.99999999999568,-5.999999999994898,-429.00000000000205,115.00000000002063,555.0000000000166,43.99999999998272,29.00000000001235,106.00000000000608,-337.99999999999386,-198.0000000000075,-36.99999999999193,-29.999999999996696,-95.00000000000064,,-1450.9999999999413
2018.04.02,175.99999999999838,-2.0000000000131024,-202.99999999998875,-86.0000000000083,-18.999999999991246,-118.99999999999133,-546.000000000002,-188.00000000001037,-141.9999999999959,-258.0000000000027,-156.00000000000057,144.99999999999514,15.00000000000945,-449.0000000000123,120.00000000000898,482.00000000000466,33.999999999991815,3.0000000000196536,24.000000000001798,-334.9999999999964,-225.9999999999991,-12.000000000000455,-20.999999999993246,-152.99999999998093,,-1915.9999999999568
2018.04.02,280.0000000000136,-26.0000000000149,-138.9999999999958,-41.000000000002146,35.00000000000725,-129.9999999999968,-583.0000000000002,-188.00000000001037,-123.00000000000466,-246.99999999999721,-182.99999999999983,142.99999999999312,25.00000000000835,-485.00000000001364,200.00000000000017,441.0000000000025,3.9999999999906777,39.00000000001125,-40.99999999997994,-378.999999999996,-215.0000000000034,-21.000000000000796,28.000000000005798,-215.99999999999397,,-1821.9999999999768
2018.04.02,334.00000000001205,-79.00000000000685,-173.99999999999238,-1.0000000000065512,13.00000000000745,-115.99999999999389,-611.9999999999903,-190.00000000000128,-200.00000000000284,-262.00000000000665,-158.99999999999804,63.00000000000195,31.000000000003247,-629.9999999999955,194.0000000000053,518.0000000000184,119.99999999997613,21.00000000000435,13.000000000018552,-584.9999999999911,-283.00000000000125,13.00000000000523,-80.99999999999774,-241.99999999998667,,-2293.9999999999186
2018.04.02,374.0000000000077,-89.00000000000574,-215.99999999999397,24.999999999986144,-17.000000000000348,-71.99999999999429,-611.9999999999903,-212.00000000001216,-260.9999999999957,-267.00000000000614,-100.99999999999554,66.99999999999484,31.000000000003247,-681.0000000000116,200.00000000000017,692.0000000000038,205.99999999998886,40.0000000000178,175.00000000001404,-587.0000000000042,-305.0000000000068,39.00000000000148,-95.00000000000064,-194.99999999998963,,-1860.9999999999893
2018.04.02,340.00000000000693,-86.0000000000083,-184.99999999998806,-19.00000000001345,-65.99999999999939,-78.99999999999574,-585.9999999999976,-187.00000000000384,-231.99999999999932,-258.9999999999981,-71.99999999999429,58.000000000002494,30.000000000007798,-628.9999999999907,191.00000000000784,741.0000000000139,162.9999999999825,30.0000000000189,221.00000000000452,-594.99999999999,-293.00000000000637,-42.999999999992156,-121.99999999999989,-163.00000000000205,,-1841.9999999999347
