date,USDCHF,GBPUSD,EURUSD,USDJPY,GBPCHF,CHFJPY,CADCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,empty,sum
2015.02.02,-29.999999999996696,-173.00000000000094,-74.0000000000185,0.0,-489.99999999999045,-492.999999999995,-141.99999999999767,-76.99999999999375,-50.99999999998772,-75.00000000000284,-336.9999999999891,-87.99999999999919,-312.00000000000114,-232.99999999999432,0.0,-127.99999999999478,-31.999999999998696,,-2734.999999999961
2015.02.02,95.00000000000064,-178.99999999999582,-58.000000000002494,171.99999999999704,-841.0000000000028,-865.9999999999997,-341.0000000000024,-105.99999999999498,72.00000000000273,-17.999999999984695,-397.99999999999613,-110.99999999999443,-356.00000000000074,-286.99999999999284,244.99999999999034,11.00000000000545,-134.0000000000008,,-3099.9999999999714
2015.02.02,351.99999999999676,-170.00000000000347,-67.00000000001705,79.9999999999983,-1052.0000000000084,-1079.0000000000077,-358.0000000000028,-102.99999999999754,2.0000000000095497,197.00000000000273,-358.99999999998045,110.99999999999443,-422.9999999999956,-200.99999999998454,259.00000000000034,7.0000000000014495,-31.999999999998696,,-2835.9999999999927
2015.02.02,527.9999999999951,-187.00000000000384,-114.0000000000141,190.9999999999883,-1218.000000000008,-1179.000000000002,-448.000000000004,-81.9999999999932,133.00000000000978,200.00000000000017,-254.99999999999545,173.00000000000094,-539.0000000000006,-261.0000000000001,358.0000000000041,68.00000000000139,-34.99999999999615,,-2667.0000000000177
2015.02.02,461.99999999999574,-189.00000000001694,-104.99999999999955,242.999999999995,-1238.99999999999,-1350.0000000000086,-485.0000000000021,-91.99999999999208,192.00000000000728,137.00000000000932,-441.0000000000025,55.99999999998939,-602.999999999998,-370.999999999988,359.99999999999943,170.00000000000347,-178.00000000000037,,-3432.999999999999
2015.02.02,415.99999999999415,-222.00000000001108,-60.000000000015596,285.99999999998715,-1106.9999999999914,-1265.0000000000005,-455.0000000000054,-119.99999999999788,225.9999999999991,36.999999999998145,-555.0000000000068,-48.000000000003595,-568.9999999999973,-314.99999999999864,334.0000000000032,211.00000000000563,-175.99999999999838,,-3382.000000000039
2015.02.02,292.9999999999988,-188.00000000001037,-37.00000000002035,348.99999999998954,-1093.999999999995,-1302.0000000000068,-456.00000000000085,-125.99999999999278,332.9999999999984,-45.99999999999049,-528.9999999999964,-156.00000000000057,-617.0000000000009,-270.99999999999903,310.99999999999284,304.9999999999997,-229.99999999999687,,-3461.000000000031
2015.02.02,97.9999999999981,-215.00000000000963,-19.00000000001345,395.9999999999866,-707.9999999999975,-969.0000000000083,-307.99999999999716,-142.99999999999312,385.9999999999957,-287.9999999999994,-818.9999999999884,-357.99999999999164,-680.9999999999983,-360.9999999999891,320.99999999999795,411.0000000000058,-424.00000000000216,,-3681.0000000000036
2015.02.02,146.00000000000168,-173.00000000000094,13.999999999980695,578.9999999999935,-642.0000000000092,-1129.000000000005,-384.00000000000654,-173.00000000000094,719.9999999999989,-373.00000000000114,-911.0000000000014,-448.000000000004,-554.9999999999944,-320.9999999999935,358.99999999999466,402.00000000000233,-429.0000000000016,,-3318.0000000000473
2015.02.02,82.00000000000429,-182.0000000000155,25.999999999992696,600.9999999999991,-524.9999999999977,-1055.0000000000068,-326.0000000000041,-151.00000000000114,699.0000000000123,-442.9999999999934,-1040.9999999999968,-469.99999999999267,-597.0000000000031,-300.99999999999574,326.9999999999982,404.0000000000044,-482.00000000000466,,-3434.000000000001
