,names,week,needed_features,accuracy
0,GBPUSD,30,"['USDJPY', 'EURCAD', 'GBPCAD']",100.0
1,EURUSD,10,"['GBPCAD', 'EURGBP', 'GBPAUD']",100.0
2,USDJPY,30,['AUDNZD'],80.0
3,USDCAD,15,"['EURCAD', 'EURGBP', 'EURAUD', 'AUDCHF']",80.0
4,NZDUSD,10,['EURGBP'],80.0
5,GBPCHF,10,"['EURJPY', 'CHFJPY', 'EURCAD']",80.0
6,CHFJPY,10,"['GBPCAD', 'GBPAUD']",80.0
7,CADCHF,30,"['CADCHF', 'EURCAD']",100.0
8,AUDCHF,10,"['USDCHF', 'AUDJPY', 'NZDCHF']",80.0
9,GBPJPY,10,"['GBPCAD', 'EURGBP', 'GBPAUD']",100.0
10,GBPCAD,50,"['CADCHF', 'EURCHF', 'GBPCAD', 'EURCAD', 'NZDCHF', 'AUDCHF']",80.0
11,EURJPY,10,"['GBPCAD', 'GBPAUD']",80.0
12,EURAUD,10,"['USDCHF', 'AUDJPY', 'NZDCHF']",100.0
13,EURNZD,15,"['NZDCAD', 'EURNZD']",80.0
14,CADJPY,10,"['EURJPY', 'CHFJPY', 'EURCAD']",100.0
15,NZDCAD,20,['EURCHF'],80.0
16,AUDNZD,20,['USDJPY'],100.0
