date,GBPUSD,EURUSD,USDJPY,AUDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.11.01,30.0000000000189,-26.999999999999247,-61.99999999999761,70.99999999999883,245.0000000000063,-109.00000000000354,197.99999999999818,-203.99999999999307,-153.00000000000313,-14.999999999998348,-106.00000000000608,-38.0000000000047,24.000000000001798,-99.99999999998899,-200.00000000000017,120.00000000000455,-173.99999999999238,162.9999999999967,107.00000000000153,114.00000000000298,,-115.99999999995745
2021.11.01,40.0000000000178,-23.00000000001745,-45.99999999999227,33.000000000005244,209.9999999999991,-68.00000000000139,136.99999999999824,-136.99999999999824,-120.00000000000898,-7.0000000000014495,-201.00000000000674,79.99999999999119,-49.99999999999449,-5.999999999994898,-144.99999999999514,69.00000000000261,-118.99999999999977,128.0000000000001,100.99999999999554,127.99999999999478,,3.9999999999938467
2021.11.01,52.000000000007596,-16.000000000016,-64.99999999999773,55.000000000005045,228.99999999999034,-79.00000000000685,163.00000000000205,-161.00000000000003,-155.00000000000514,-7.9999999999968985,-178.99999999999582,49.00000000001015,-22.999999999995246,-36.999999999998145,-222.99999999999542,109.99999999999943,-153.99999999999636,189.99999999999773,103.99999999999298,153.99999999999858,,6.000000000000199
2021.11.01,15.00000000000945,-67.00000000001705,-137.00000000000045,58.000000000002494,251.00000000000122,-95.00000000000064,190.00000000000128,-197.99999999999818,-219.00000000000253,4.999999999999449,-174.99999999999181,-12.999999999996348,2.0000000000131024,-112.000000000001,-371.99999999999454,140.00000000000057,-211.9999999999891,278.0000000000058,134.0000000000008,217.99999999999596,,-308.9999999999615
2021.11.01,56.000000000011596,-42.0000000000087,-79.9999999999983,75.9999999999983,261.0000000000001,-83.00000000001084,192.00000000000327,-193.99999999999417,-197.00000000000273,12.000000000000899,-151.9999999999966,28.000000000005798,34.000000000000696,-107.99999999999699,-310.9999999999946,141.9999999999959,-186.9999999999976,228.9999999999992,107.00000000000153,166.99999999999494,,-49.99999999998818
2021.11.01,-64.99999999998174,-76.0000000000094,32.00000000001069,-2.999999999997449,184.99999999999073,-83.00000000001084,165.00000000000404,-143.9999999999997,-132.0000000000099,-34.99999999999615,-127.99999999999478,56.99999999999594,-27.999999999983594,5.999999999994898,-153.00000000000313,-18.000000000000682,-12.000000000000455,42.00000000000159,78.99999999999574,117.99999999999588,,-192.99999999999832
2021.11.01,-30.999999999981043,-41.000000000002146,55.999999999997385,-24.999999999997247,168.99999999999693,-74.0000000000185,148.99999999999915,-100.00000000000009,-130.0000000000079,-41.000000000002146,-131.99999999999878,143.00000000000423,-40.99999999997994,93.99999999999409,-157.00000000000713,-18.000000000000682,27.000000000001023,52.99999999999727,37.99999999999359,133.00000000000534,,71.99999999999342
2021.11.01,7.0000000000014495,-60.99999999999994,-54.000000000002046,34.000000000000696,215.00000000000963,-67.00000000001705,178.99999999999582,-159.9999999999935,-197.00000000000273,-2.999999999997449,-123.99999999999079,53.999999999998494,29.00000000001235,-53.999999999998494,-340.00000000000693,99.00000000000375,-122.99999999999045,209.00000000000318,80.00000000000229,185.00000000000182,,-91.99999999996987
2021.11.01,17.000000000000348,-60.000000000015596,10.000000000005116,6.0000000000060005,255.99999999998957,-94.00000000001629,219.99999999999798,-151.00000000000114,-210.00000000001017,1.0000000000065512,-87.99999999999919,133.00000000000534,66.00000000001049,7.0000000000014495,-324.0000000000132,73.0000000000075,-43.99999999999693,156.0000000000059,20.999999999993246,153.00000000000313,,147.99999999998013
2021.11.01,35.00000000000725,-82.00000000000429,11.00000000000989,9.00000000000345,251.00000000000122,-54.0000000000207,209.9999999999991,-142.99999999999312,-189.00000000000583,29.000000000001247,-102.00000000000209,147.00000000000824,103.00000000000864,-32.999999999994145,-339.0000000000004,79.00000000000773,-45.99999999999227,150.00000000000568,19.00000000000235,138.00000000000477,,193.00000000004673
2021.11.01,12.000000000012001,-93.00000000000975,-86.99999999998909,-24.000000000001798,276.00000000000955,-83.00000000001084,219.00000000000253,-136.99999999999824,-176.0000000000095,21.00000000000435,-112.99999999998533,197.00000000000273,81.00000000001995,24.000000000001798,-259.0000000000092,135.00000000000512,-79.9999999999983,170.0000000000017,-1.0000000000065512,109.00000000000354,,191.00000000004468
2021.11.01,-15.999999999993797,-123.00000000000644,-96.9999999999942,-56.99999999999594,302.0000000000023,-102.00000000000209,212.00000000000108,-131.99999999999878,-198.00000000000927,26.999999999999247,-137.9999999999937,251.00000000000122,70.0000000000145,62.000000000006494,-287.9999999999994,114.00000000000432,-49.99999999999716,174.0000000000066,-12.000000000000899,129.9999999999968,,129.0000000000409
