date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2018.06.25,47.9999999999925,-146.00000000000168,25.999999999992696,115.99999999999966,4.999999999988347,2.999999999997449,-26.999999999999247,-165.00000000001512,-90.99999999999665,241.99999999999022,-60.99999999999994,14.999999999998348,-44.99999999999504,-90.99999999999665,-312.0000000000118,-188.9999999999947,-272.00000000000557,-123.99999999999523,-9.999999999998899,42.0000000000087,87.99999999999919,-125.99999999999056,-90.99999999999397,-99.00000000000375,-7.0000000000014495,47.00000000000814,63.99999999999739,,-1160.000000000027
2018.06.25,53.999999999998494,-175.99999999999838,-9.999999999998899,45.99999999999227,5.999999999994898,-21.00000000000435,-31.999999999998696,-185.00000000001293,-134.99999999999625,178.99999999998784,-65.99999999999939,43.999999999999595,-59.99999999999339,-70.99999999999883,-243.99999999999977,-214.99999999998744,-230.00000000001907,-62.00000000001182,48.99999999998794,19.999999999997797,156.00000000000057,-81.99999999999363,-64.99999999999773,-45.000000000001705,27.999999999994696,54.00000000000959,87.99999999999919,,-975.0000000000497
2018.06.25,17.999999999995797,-195.9999999999962,-31.000000000003247,64.99999999999773,65.99999999998829,-5.000000000010552,-63.00000000000195,-180.0000000000024,-113.99999999999189,250.0,-21.999999999999797,0.0,-54.999999999993946,-53.00000000000304,-307.00000000001637,-330.9999999999924,-368.00000000001273,-106.00000000002296,130.99999999999224,130.99999999999224,171.00000000001003,-69.99999999999318,-58.9999999999975,-97.99999999999898,46.999999999997044,131.00000000000333,59.99999999999339,,-988.0000000000671
2018.06.25,10.999999999994348,-194.0000000000053,-56.99999999999594,66.0000000000025,43.999999999999595,0.999999999995449,-70.0000000000034,-170.00000000000347,-131.99999999999878,257.99999999999557,-29.999999999996696,-10.999999999994348,-58.000000000002494,-36.999999999998145,-302.99999999999727,-299.99999999998914,-387.000000000004,-132.000000000005,141.99999999999767,177.00000000000495,191.99999999999218,-83.99999999998897,-51.00000000000193,-103.9999999999992,21.999999999999797,121.99999999999989,39.999999999995595,,-1045.0000000000061
2018.06.25,-7.0000000000014495,-194.0000000000053,-35.00000000000725,-9.000000000000341,109.00000000000354,-17.000000000000348,-75.9999999999983,-146.00000000000168,-91.99999999998099,204.9999999999983,19.00000000000235,-9.999999999998899,-53.999999999998494,-43.999999999999595,-204.00000000000773,-383.99999999998437,-341.00000000001353,-20.000000000010232,187.00000000000384,110.99999999999443,143.00000000000423,10.000000000005116,-15.999999999991132,-61.00000000000705,88.99999999999464,178.00000000000037,59.000000000009045,,-599.9999999999908
2018.06.25,34.99999999999615,-121.99999999999989,31.000000000003247,88.99999999999864,120.99999999999334,-9.00000000000345,-46.00000000000159,-129.00000000000134,-75.99999999998718,254.99999999999545,-2.999999999997449,14.000000000002899,-46.999999999997044,-53.999999999998494,-254.99999999999545,-310.9999999999946,-262.00000000000665,-64.00000000002137,113.99999999999189,42.0000000000087,129.00000000000134,-52.99999999999727,-79.9999999999983,-90.00000000000341,90.99999999999665,142.00000000000878,95.00000000000064,,-443.0000000000056
2018.06.25,25.999999999992696,-107.99999999999699,92.00000000000318,-162.00000000000614,211.00000000000563,100.00000000000009,-2.999999999997449,-104.00000000001519,-1.999999999990898,15.000000000000568,57.00000000000705,-102.00000000000209,-2.999999999997449,-89.00000000000574,91.00000000000819,-411.99999999999017,-511.000000000017,298.9999999999924,137.9999999999937,191.99999999999218,134.99999999999625,192.99999999999784,225.9999999999991,126.99999999999534,12.000000000000899,150.00000000000568,-1.999999999990898,,565.9999999999808
2018.06.25,0.999999999995449,-97.9999999999981,69.9999999999923,-234.99999999999943,214.99999999998744,125.99999999999278,9.00000000000345,-60.99999999999994,3.0000000000196536,-35.0000000000108,70.0000000000034,-146.00000000000168,29.000000000001247,-62.000000000006494,201.99999999999818,-392.9999999999989,-558.0000000000141,356.9999999999851,168.99999999999693,285.00000000000193,205.00000000001074,246.00000000000932,308.00000000000693,191.0000000000025,-21.999999999999797,134.0000000000008,-19.999999999997797,,989.9999999999811
2018.06.25,-4.999999999999449,-79.00000000000685,112.000000000001,-341.0000000000082,225.99999999999287,145.9999999999906,36.999999999998145,-34.000000000000696,53.00000000001415,-132.000000000005,86.0000000000083,-168.99999999999693,63.00000000000195,-82.00000000000429,361.99999999999477,-387.99999999998835,-575.0000000000144,525.9999999999962,126.99999999998823,263.99999999999756,211.00000000000563,334.0000000000032,409.9999999999966,295.99999999999227,-38.0000000000047,106.00000000000608,1.999999999990898,,1517.9999999999495
2018.06.25,-9.999999999998899,-117.99999999999588,70.99999999999883,-353.00000000000864,232.99999999999432,118.99999999999133,46.00000000000159,-66.00000000001049,17.000000000000348,-139.00000000001,92.00000000000318,-146.99999999999713,75.00000000000284,-78.00000000000028,335.00000000000796,-447.99999999998175,-565.9999999999999,495.9999999999951,191.99999999999218,263.00000000001324,293.0000000000099,347.999999999999,389.00000000001,313.99999999999295,2.999999999997449,97.00000000000264,49.99999999999449,,1508.0000000000045
