date,GBPUSD,EURUSD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.07.06,0.0,-51.99999999998539,-38.0000000000047,-17.000000000000348,-114.0000000000141,-79.99999999999119,-88.00000000002228,-58.99999999999794,-39.00000000000014,-13.00000000000745,-60.99999999999994,-12.000000000000455,-18.999999999991246,-19.99999999998181,-80.99999999999774,0.0,-210.99999999999852,-254.99999999999545,-53.00000000000304,0.0,-11.00000000000545,,-1222.999999999997
2015.07.06,-49.00000000001015,-105.99999999998388,-24.000000000001798,-15.00000000000945,-170.00000000000347,-127.99999999999478,-149.0000000000009,-49.99999999999449,-85.00000000000173,-74.00000000000739,-48.000000000003595,50.99999999998772,-83.00000000001084,-68.9999999999884,-157.99999999999147,-129.99999999998568,-132.99999999999557,-108.00000000000409,-61.999999999995396,-36.0000000000027,-38.0000000000047,,-1664.000000000003
2015.07.06,-42.0000000000087,-5.999999999994898,-168.99999999999693,-184.00000000000637,-304.9999999999997,-114.99999999999844,-242.00000000001864,-229.00000000000142,-236.99999999999832,-270.0000000000036,-267.00000000000614,-193.00000000001205,-200.99999999998454,-91.99999999998454,107.99999999999699,60.99999999999994,-420.99999999999227,-334.99999999999375,-170.99999999999892,-194.0000000000053,-181.00000000000892,,-3685.0000000000173
2015.07.06,136.99999999998712,326.0000000000041,-156.99999999999602,-301.0000000000068,-169.00000000001913,242.99999999999324,336.9999999999891,-12.999999999996348,-157.00000000000713,-267.00000000000614,-228.00000000000597,695.999999999998,-187.99999999998818,787.0000000000061,209.9999999999991,58.000000000002494,-349.9999999999943,353.9999999999992,-180.0000000000024,-326.9999999999995,-224.000000000002,,586.9999999999543
2015.07.06,197.00000000000273,400.00000000000034,-365.0000000000042,-330.0000000000081,-69.00000000000794,242.99999999999324,432.9999999999927,-25.999999999992696,-262.00000000000665,-263.0000000000021,-275.99999999999847,696.9999999999743,-595.9999999999966,849.000000000018,7.0000000000014495,-9.999999999998899,-359.99999999999943,447.00000000000273,-380.999999999998,-362.00000000000676,-157.00000000000713,,-184.00000000004147
2015.07.06,72.0000000000054,114.0000000000141,-292.9999999999988,-320.00000000000915,-164.00000000000858,131.99999999999878,341.99999999998454,-56.99999999999594,-231.0000000000034,-279.00000000000705,-223.00000000000654,688.999999999993,-453.99999999999886,604.0000000000134,42.999999999993044,-186.99999999998164,-301.9999999999925,420.0000000000017,-378.00000000000057,-395.0000000000009,-246.00000000001288,,-1113.000000000013
2015.07.06,73.99999999999629,137.00000000000932,-356.00000000000074,-275.000000000003,-236.00000000001398,178.99999999999582,328.9999999999793,-19.999999999997797,-302.0000000000023,-317.0000000000006,-250.00000000000577,742.999999999995,-767.0000000000066,618.9999999999998,-154.99999999999403,-241.99999999998667,-475.9999999999991,475.0000000000085,-451.0000000000014,-363.99999999999767,-134.99999999999625,,-1790.0000000000218
2015.07.06,66.99999999999484,350.00000000000585,-385.99999999999744,-297.00000000000284,-87.99999999999919,270.99999999999903,563.999999999993,-19.00000000000235,-358.9999999999982,-295.0000000000008,-253.99999999999866,893.0000000000007,-844.0000000000225,1026.0000000000105,-157.99999999999147,-1.999999999990898,-468.9999999999941,588.0000000000081,-488.999999999995,-368.00000000000165,65.99999999998829,,-202.99999999999494
2015.07.06,76.99999999999375,400.00000000000034,-417.99999999999613,-352.00000000000784,-42.0000000000087,283.99999999999534,564.9999999999977,-80.99999999999774,-324.00000000000205,-302.0000000000023,-370.9999999999991,857.9999999999757,-850.0000000000174,1021.000000000015,-116.99999999998934,99.00000000000463,-560.9999999999928,566.0000000000025,-512.0000000000014,-419.9999999999982,-15.00000000000945,,-495.0000000000373
2015.07.06,163.00000000000205,608.0000000000085,-368.9999999999971,-305.0000000000108,-121.00000000001555,394.00000000000546,683.9999999999975,-90.99999999999665,-289.0000000000059,-241.00000000000233,-402.00000000000233,1171.999999999997,-681.0000000000205,1431.0000000000116,185.99999999999727,270.99999999999903,-560.9999999999928,548.0000000000018,-470.9999999999992,-380.999999999998,32.999999999994145,,1577.9999999999734
