date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,empty,sum
2016.09.05,-105.99999999999498,-5.999999999994898,-8.000000000008,-167.9999999999904,-39.00000000000014,-89.00000000000574,-127.99999999999478,-15.000000000000568,-80.00000000000229,-90.0000000000012,-67.00000000000594,-84.00000000000318,-52.99999999999194,-93.00000000000975,-76.00000000000762,-18.0000000000069,-312.00000000000114,-104.99999999998977,-61.999999999995396,-139.99999999999568,,-1739.0000000000002
2016.09.05,0.0,-7.0000000000014495,21.00000000000435,-177.99999999998929,-34.000000000000696,-79.00000000000685,48.000000000003595,-35.0000000000108,-146.99999999999713,-124.00000000000189,-69.00000000000794,-104.00000000001342,-55.99999999998939,-99.00000000000463,-91.99999999999875,-21.00000000000435,-309.0000000000037,-36.99999999999193,-39.00000000000014,-178.99999999999582,,-1540.0000000000107
2016.09.05,43.999999999999595,-9.999999999998899,-2.0000000000131024,-20.999999999982144,-81.00000000000884,-148.0000000000037,28.999999999990145,25.99999999999625,-152.00000000000767,-197.00000000000273,-119.00000000000244,-75.9999999999934,5.999999999994898,-135.00000000001845,-40.00000000000625,35.999999999991594,-323.0000000000066,43.00000000000637,56.0000000000005,-224.9999999999974,,-1289.0000000000625
2016.09.05,51.99999999999649,-26.999999999999247,-4.000000000004,28.000000000005798,-35.00000000000725,-184.00000000000637,29.999999999996696,34.99999999999659,-129.00000000000134,-219.99999999999798,-127.00000000001043,-128.00000000001432,8.000000000008,-99.00000000000463,-54.000000000002046,-32.0000000000098,-371.99999999999454,26.00000000001046,44.99999999999504,-300.99999999999574,,-1488.0000000000387
2016.09.05,28.000000000005798,-11.00000000000545,-21.00000000000435,23.00000000001745,-31.000000000003247,-187.9999999999993,1.999999999990898,51.9999999999925,-129.00000000000134,-217.0000000000005,-142.00000000000878,-122.99999999999045,25.999999999992696,-75.00000000000284,-34.99999999999659,-130.0000000000079,-373.00000000000114,20.000000000010232,21.999999999999797,-292.9999999999988,,-1595.0000000000114
2016.09.05,43.999999999999595,1.999999999990898,-24.000000000001798,56.000000000011596,31.999999999998696,-147.00000000000824,38.99999999998904,-31.00000000000591,-102.99999999999754,-176.99999999999383,-134.0000000000008,-223.0000000000132,66.99999999999484,77.99999999997809,-121.99999999999989,-157.00000000000713,-275.000000000003,-57.00000000000216,10.999999999994348,-263.99999999999756,,-1385.0000000000741
2016.09.05,-32.999999999994145,7.0000000000014495,-85.00000000000173,-88.99999999998354,-98.0000000000092,-264.0000000000087,-22.0000000000109,-186.00000000000705,-129.00000000000134,-234.00000000000088,-157.00000000000713,-490.0000000000091,-48.99999999998794,-144.0000000000108,-316.0000000000025,-141.99999999999767,-432.0000000000102,-146.0000000000008,33.000000000005244,-321.0000000000046,,-3297.0000000000414
2016.09.05,-34.000000000000696,32.0000000000098,-90.99999999999665,-91.99999999998099,-129.00000000000134,-268.0000000000016,18.999999999991246,-117.00000000000443,-148.99999999999915,-244.99999999999523,-134.0000000000008,-362.99999999999955,-43.999999999999595,-133.00000000000534,-242.00000000000443,0.0,-439.0000000000116,-81.00000000000307,49.99999999999449,-326.9999999999995,,-2787.000000000009
2016.09.05,-2.000000000002,19.999999999997797,-58.000000000002494,-55.99999999998939,-116.00000000000499,-292.00000000000335,4.000000000004,-97.00000000000841,-151.00000000000114,-295.0000000000008,-145.00000000000622,-289.99999999999204,-21.00000000000435,-205.00000000001074,-207.9999999999984,-43.999999999999595,-527.9999999999951,-45.99999999999227,71.99999999999429,-375.9999999999986,,-2834.000000000014
2016.09.05,9.999999999998899,38.0000000000047,-52.000000000007596,-78.00000000000028,-181.00000000000892,-318.00000000000716,52.000000000007596,-69.00000000000261,-182.00000000000438,-326.9999999999995,-124.00000000000189,-234.00000000000887,-52.000000000007596,-362.00000000001785,-171.00000000000648,106.99999999999044,-592.9999999999991,-25.99999999999625,121.99999999999989,-383.99999999999545,,-2824.0000000000623
