,names,week,needed_features,accuracy
0,USDCHF,10,['EURUSD'],100.0
1,GBPUSD,10,['AUDUSD'],80.0
2,EURUSD,50,"['AUDUSD', 'GBPUSD', 'EURUSD', 'NZDJPY', 'NZDUSD']",100.0
3,USDJPY,10,"['AUDCHF', 'AUDUSD']",80.0
4,USDCAD,10,['EURUSD'],100.0
5,AUDUSD,10,"['AUDUSD', 'GBPUSD', 'EURUSD', 'NZDJPY', 'NZDUSD']",80.0
6,NZDUSD,10,['AUDUSD'],80.0
7,GBPCHF,20,"['EURCHF', 'NZDCAD']",100.0
8,CHFJPY,30,['GBPUSD'],80.0
9,CADCHF,10,"['NZDCAD', 'AUDCHF']",80.0
10,EURGBP,30,"['EURCHF', 'GBPUSD']",100.0
11,GBPJPY,30,"['EURUSD', 'EURAUD']",100.0
12,GBPAUD,10,['EURGBP'],80.0
13,EURCAD,10,"['NZDJPY', 'NZDUSD', 'GBPUSD']",80.0
14,CADJPY,10,['GBPCHF'],80.0
15,AUDJPY,50,['NZDJPY'],80.0
16,AUDCAD,15,"['AUDUSD', 'GBPUSD', 'EURUSD', 'NZDUSD', 'NZDJPY', 'USDCHF', 'AUDJPY']",80.0
17,AUDNZD,10,['EURGBP'],80.0
