,names,week,needed_features,accuracy
0,EURUSD,30,['NZDCAD'],80.0
1,USDJPY,20,['GBPAUD'],100.0
2,GBPCHF,10,['GBPUSD'],80.0
3,CHFJPY,50,"['AUDNZD', 'GBPCAD', 'CHFJPY', 'GBPJPY', 'USDCHF', 'EURJPY']",100.0
4,CADCHF,20,['CHFJPY'],100.0
5,AUDCHF,20,"['USDJPY', 'GBPUSD', 'AUDCHF', 'EURCAD', 'CADCHF']",100.0
6,EURGBP,10,['GBPUSD'],80.0
7,GBPJPY,10,['EURAUD'],100.0
8,GBPAUD,15,"['AUDJPY', 'CHFJPY', 'EURGBP', 'GBPCHF', 'EURUSD', 'AUDUSD', 'EURJPY']",100.0
9,EURCAD,20,['USDCHF'],100.0
10,EURAUD,10,['NZDJPY'],80.0
11,NZDJPY,30,"['EURAUD', 'AUDCHF', 'EURJPY']",80.0
12,NZDCAD,50,"['AUDCHF', 'USDJPY', 'GBPCAD', 'EURCAD', 'CADCHF', 'NZDCAD']",80.0
13,AUDNZD,15,"['EURAUD', 'NZDCHF']",80.0
