,names,week,needed_features,accuracy
0,USDCHF,10,"['EURNZD', 'USDCHF', 'EURJPY', 'EURUSD']",80.0
1,GBPUSD,10,['EURNZD'],80.0
2,EURUSD,30,"['EURNZD', 'USDCHF', 'EURJPY', 'EURUSD', 'GBPUSD', 'AUDUSD', 'AUDJPY', 'NZDUSD', 'GBPJPY']",100.0
3,USDJPY,10,"['USDCHF', 'EURCHF', 'EURUSD', 'AUDCHF']",100.0
4,NZDUSD,50,['EURGBP'],80.0
5,EURCHF,15,"['GBPCHF', 'USDJPY']",100.0
6,CHFJPY,10,"['EURCAD', 'GBPCAD']",100.0
7,GBPJPY,30,"['EURNZD', 'AUDCHF', 'EURAUD']",100.0
8,GBPAUD,10,['EURCAD'],80.0
9,EURJPY,15,"['EURNZD', 'EURJPY']",100.0
10,EURAUD,10,"['GBPCAD', 'GBPCHF']",80.0
11,EURNZD,15,"['GBPCAD', 'GBPCHF', 'EURNZD']",100.0
