date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPAUD,EURJPY,EURCAD,EURNZD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.12.07,-48.000000000003595,-68.00000000000139,-113.99999999999189,-15.000000000000568,-7.999999999985796,-25.00000000000835,-101.00000000000664,-86.0000000000083,-38.99999999998904,-19.99999999999602,-6.0000000000060005,0.0,-52.000000000007596,-132.99999999999423,-119.99999999998678,-105.99999999999454,-122.99999999998423,-289.0000000000059,-54.999999999993946,-60.00000000000449,-154.0000000000097,,-1621.999999999979
2015.12.07,-65.99999999999939,-32.999999999994145,-99.00000000000463,-12.000000000000455,-28.999999999990145,-57.00000000000705,-129.00000000000134,-42.999999999993044,-107.99999999999699,-16.000000000005343,-1.0000000000065512,-18.0000000000069,-153.00000000000313,-119.99999999999788,-48.000000000003595,-116.00000000001387,-143.00000000000423,-552.0000000000191,-36.999999999998145,-200.00000000000017,-285.00000000000193,,-2265.000000000048
2015.12.07,-70.99999999999883,-36.0000000000138,-190.99999999998562,1.9999999999953388,-106.99999999999044,-80.00000000000229,-170.00000000000347,-28.000000000005798,-126.99999999998823,13.999999999995794,-75.00000000000284,-64.0000000000085,-202.9999999999976,-166.99999999999494,71.99999999998319,-191.0000000000025,-356.00000000000074,-781.0000000000094,-81.9999999999932,-209.9999999999991,-309.0000000000037,,-3160.000000000027
2015.12.07,-11.00000000000545,-18.0000000000069,-185.99999999999727,-19.99999999999602,-234.00000000000088,-77.00000000000485,-172.00000000000549,-59.99999999999339,-93.99999999999409,79.00000000000773,-126.99999999999933,-70.0000000000034,-209.9999999999991,-161.99999999999548,57.00000000001815,-212.99999999999386,-451.0000000000014,-758.0000000000142,-187.9999999999993,-140.0000000000068,-327.99999999999494,,-3382.999999999986
2015.12.07,-73.99999999999629,-38.0000000000047,-129.00000000000134,-19.000000000005457,-237.99999999998266,-64.0000000000085,-185.00000000000182,-76.99999999999375,-96.99999999999153,-18.000000000000682,-140.0000000000068,-43.999999999999595,-200.00000000000017,-136.00000000000279,85.00000000002395,-164.0000000000157,-407.99999999998613,-724.0000000000135,-171.99999999999437,-130.0000000000079,-351.0000000000124,,-3323.0000000000023
2015.12.07,-90.99999999999665,-89.00000000000574,-78.99999999998464,-22.999999999996135,-258.99999999998704,-169.00000000000804,-272.00000000000557,-42.999999999993044,-78.00000000000028,-15.000000000000568,-109.00000000000354,-129.00000000000134,-280.00000000000244,-120.99999999999334,150.00000000000568,-79.00000000000773,-360.9999999999891,-824.0000000000025,-124.00000000000189,-240.00000000000688,-383.0,,-3617.999999999981
2015.12.07,-104.99999999999955,-78.00000000000028,-38.0000000000047,-28.000000000005798,-275.9999999999874,-156.00000000000057,-270.0000000000036,-17.000000000000348,-42.999999999993044,-15.000000000000568,-104.99999999999955,-111.00000000000554,-290.00000000000136,-100.99999999999554,144.0000000000108,-51.00000000001614,-316.99999999998954,-817.000000000001,-110.99999999999443,-240.00000000000688,-377.0000000000051,,-3402.0
2015.12.07,-107.99999999999699,-78.00000000000028,-31.999999999987594,-31.999999999996476,-246.99999999999721,-110.00000000001009,-296.0000000000074,-52.000000000007596,-35.00000000000725,-16.000000000005343,-87.00000000000374,-62.000000000006494,-309.99999999999915,-107.99999999999699,84.0000000000174,-38.000000000010914,-252.99999999999213,-836.0000000000146,-108.99999999999244,-309.99999999999915,-482.00000000000466,,-3517.0000000000186
2015.12.07,-187.9999999999993,-103.00000000000864,-11.999999999989797,-81.00000000000307,-242.99999999999324,-129.00000000000134,-372.0000000000057,17.000000000000348,-28.999999999990145,-57.00000000000216,-50.0000000000056,-4.000000000004,-319.99999999999807,-90.0000000000012,44.0000000000218,-51.00000000001614,-217.0000000000005,-894.000000000017,-125.99999999999278,-390.0000000000015,-605.9999999999955,,-3901.000000000003
2015.12.07,-205.99999999999508,-116.00000000000499,58.000000000002494,-94.99999999999886,-279.99999999999136,-159.00000000000912,-399.0000000000049,96.00000000000719,-29.999999999996696,-79.9999999999983,-43.999999999999595,-17.000000000000348,-340.00000000000693,-58.99999999999794,141.99999999999767,-8.000000000009777,-200.99999999998454,-958.9999999999987,-120.99999999999334,-400.00000000000034,-609.9999999999994,,-3827.9999999999827
2015.12.07,-170.00000000000347,-124.99999999999733,69.00000000000794,-112.99999999999955,-314.99999999999864,-109.00000000000354,-402.9999999999978,106.99999999999044,-32.999999999994145,-22.00000000000557,-50.0000000000056,2.999999999997449,-340.00000000000693,-63.00000000000195,-62.000000000006494,-18.000000000000682,-245.99999999999068,-998.00000000001,-221.99999999999997,-380.00000000000256,-717.9999999999964,,-4208.0000000000255
2015.12.07,-178.00000000000037,-116.00000000000499,38.0000000000047,-91.00000000000819,-289.9999999999903,-80.00000000000229,-463.0000000000023,92.00000000000318,-42.0000000000087,-28.999999999996362,-38.0000000000047,54.999999999993946,-400.00000000000034,-78.99999999999574,-90.99999999997443,-28.999999999996362,-234.00000000000088,-1112.0000000000018,-226.99999999999943,-460.00000000000483,-815.0000000000101,,-4589.000000000001
2015.12.07,-180.99999999999784,-106.00000000000608,36.999999999998145,-76.99999999999818,-304.9999999999997,-111.00000000000554,-480.99999999999807,116.99999999998934,-62.000000000006494,-46.999999999997044,-46.999999999997044,12.999999999996348,-419.9999999999982,-75.9999999999983,69.00000000000794,-18.000000000000682,-263.99999999999756,-1192.0000000000152,-163.00000000000205,-470.00000000000375,-756.0000000000011,,-4540.000000000031
2015.12.07,-189.00000000000583,-90.00000000001229,41.000000000002146,-85.00000000000796,-300.99999999999574,-106.00000000000608,-451.0000000000014,127.99999999999478,-76.99999999999375,-48.99999999999238,-43.999999999999595,19.00000000000235,-390.0000000000015,-65.99999999999939,126.00000000002609,-27.000000000015234,-254.999999999983,-1135.0000000000193,-141.00000000000225,-450.00000000000597,-733.0000000000059,,-4275.000000000022
2015.12.07,-170.00000000000347,-112.000000000001,35.00000000000725,-94.99999999999886,-312.00000000000114,-95.00000000000064,-456.00000000000085,109.00000000000354,-73.99999999999629,-39.99999999999204,-46.999999999997044,29.000000000001247,-400.00000000000034,-78.99999999999574,65.00000000002615,-50.00000000001137,-275.000000000003,-1168.0000000000134,-164.99999999999292,-460.00000000000483,-753.0000000000036,,-4512.999999999978
2015.12.07,-180.99999999999784,-110.00000000001009,29.999999999996696,-100.99999999999909,-310.9999999999946,-109.00000000000354,-455.0000000000054,113.00000000000753,-79.99999999999119,-49.99999999999716,-52.000000000007596,15.999999999993797,-400.00000000000034,-80.99999999999774,134.99999999999625,-58.9999999999975,-282.0000000000045,-1177.000000000006,-141.00000000000225,-450.00000000000597,-709.0000000000041,,-4454.000000000031
2015.12.07,-182.00000000000438,-93.00000000000975,1.0000000000065512,-96.00000000000364,-310.9999999999946,-113.00000000000753,-443.99999999999994,117.99999999999588,-93.99999999999409,-42.00000000000159,-52.000000000007596,12.000000000000899,-390.0000000000015,-100.00000000000009,119.99999999998678,-84.00000000000318,-339.99999999998477,-1182.0000000000164,-163.00000000000205,-430.00000000000813,-697.9999999999986,,-4563.000000000047
2015.12.07,-192.99999999999872,-83.9999999999952,-8.999999999992347,-91.00000000000819,-314.99999999999864,-78.00000000000028,-441.99999999999795,120.99999999999334,-113.00000000000753,-31.999999999996476,-68.00000000000139,29.000000000001247,-390.0000000000015,-86.99999999999264,105.00000000002174,-82.99999999999841,-319.999999999987,-1168.0000000000134,-193.99999999999417,-420.00000000000927,-727.0000000000109,,-4558.999999999987
2015.12.07,-172.00000000000549,-69.00000000000794,-43.999999999999595,-82.99999999999841,-299.99999999998914,-91.00000000000774,-414.00000000000324,127.99999999999478,-104.99999999999955,-30.000000000001137,-53.999999999998494,24.000000000001798,-380.00000000000256,-90.99999999999665,126.00000000002609,-99.99999999999432,-350.9999999999902,-1175.9999999999993,-180.99999999999784,-409.99999999999926,-693.9999999999947,,-4466.999999999963
