,names,week,needed_features,accuracy
0,USDCHF,10,['GBPCAD'],80.0
1,GBPUSD,20,['NZDCHF'],80.0
2,EURUSD,30,"['EURNZD', 'EURJPY', 'GBPJPY', 'USDCHF', 'NZDCHF', 'CADCHF', 'AUDCHF']",80.0
3,USDCAD,15,"['NZDUSD', 'AUDCAD', 'AUDCHF', 'EURCHF', 'EURAUD', 'EURUSD', 'AUDUSD']",100.0
4,AUDUSD,30,"['USDCAD', 'NZDUSD', 'EURAUD', 'NZDCHF', 'CADCHF', 'EURCAD', 'EURCHF']",80.0
5,EURCHF,15,"['EURJPY', 'AUDCHF', 'AUDCAD', 'NZDUSD']",100.0
6,CHFJPY,15,"['CADCHF', 'USDCHF', 'GBPJPY']",80.0
7,CADCHF,10,"['AUDCAD', 'AUDCHF', 'NZDUSD']",100.0
8,EURGBP,10,"['AUDUSD', 'EURAUD', 'AUDCAD', 'AUDCHF']",80.0
9,GBPJPY,20,"['EURJPY', 'USDCHF', 'GBPJPY', 'EURUSD', 'NZDJPY', 'CHFJPY']",100.0
10,GBPCAD,10,['EURJPY'],80.0
11,EURJPY,10,"['EURJPY', 'GBPJPY', 'USDJPY', 'CADJPY']",80.0
12,EURCAD,20,"['AUDCAD', 'NZDCAD', 'EURCAD', 'AUDUSD']",80.0
13,EURAUD,10,"['USDCAD', 'NZDUSD']",80.0
14,EURNZD,15,"['CADCHF', 'NZDCAD', 'EURCAD', 'AUDNZD', 'GBPCAD']",100.0
15,NZDJPY,15,['CADCHF'],80.0
16,AUDCAD,20,"['USDCAD', 'NZDUSD']",80.0
17,NZDCAD,10,"['NZDCAD', 'EURCAD']",100.0
18,AUDNZD,10,['GBPCAD'],100.0
